id,total_len,nb_groups,len_groups,max_len_group
10241_svg,237,27,"[22, 6, 10, 10, 10, 6, 6, 32, 4, 6, 7, 11, 11, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 17, 17, 10, 10]",32
10242_svg,163,16,"[6, 4, 5, 12, 12, 10, 10, 10, 13, 12, 12, 10, 10, 10, 13, 14]",14
10243_svg,227,82,"[40, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 10, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 7, 8, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",40
10245_svg,100,10,"[19, 4, 10, 22, 4, 15, 4, 8, 7, 7]",22
10244_svg,124,8,"[16, 16, 16, 16, 16, 16, 14, 14]",16
10246_svg,78,5,"[22, 7, 6, 4, 39]",39
10163_svg,102,1,[102],102
1025_svg,20,3,"[5, 10, 5]",10
10247_svg,372,38,"[33, 17, 4, 4, 8, 25, 25, 25, 25, 4, 25, 25, 4, 4, 4, 4, 4, 7, 7, 7, 7, 7, 7, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 14, 8, 8]",33
10252_svg,67,6,"[16, 7, 16, 6, 15, 7]",16
10264_svg,133,17,"[21, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",21
10263_svg,113,12,"[11, 11, 11, 11, 7, 7, 7, 7, 9, 10, 11, 11]",11
1026_svg,38,4,"[8, 8, 14, 8]",14
10276_svg,38,2,"[30, 8]",30
10261_svg,206,19,"[12, 15, 14, 12, 10, 10, 10, 8, 7, 5, 33, 15, 12, 11, 9, 8, 6, 5, 4]",33
10277_svg,57,7,"[11, 9, 7, 7, 9, 7, 7]",11
1027_svg,17,1,[17],17
10278_svg,126,11,"[20, 14, 9, 10, 11, 13, 23, 5, 7, 7, 7]",23
10265_svg,293,12,"[13, 11, 9, 9, 6, 8, 6, 161, 5, 5, 31, 29]",161
10288_svg,27,3,"[5, 16, 6]",16
10289_svg,29,3,"[5, 16, 8]",16
10287_svg,26,1,[26],26
10291_svg,83,11,"[8, 6, 6, 16, 4, 4, 4, 5, 5, 12, 13]",16
10290_svg,59,7,"[5, 7, 6, 8, 8, 6, 19]",19
10337_svg,211,14,"[69, 16, 10, 10, 8, 10, 12, 10, 10, 8, 10, 20, 8, 10]",69
10338_svg,45,3,"[16, 18, 11]",18
10351_svg,42,3,"[11, 8, 23]",23
10334_svg,85,17,"[21, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",21
10266_svg,221,3,"[161, 31, 29]",161
10352_svg,66,7,"[13, 8, 9, 5, 10, 8, 13]",13
10353_svg,39,3,"[20, 9, 10]",20
10336_svg,194,24,"[8, 8, 8, 8, 6, 4, 4, 4, 4, 6, 7, 7, 8, 6, 6, 35, 6, 6, 6, 6, 11, 16, 6, 8]",35
103_svg,47,1,[47],47
10355_svg,32,1,[32],32
10354_svg,152,15,"[8, 8, 8, 11, 8, 8, 8, 8, 7, 7, 8, 8, 5, 26, 24]",26
10425_svg,28,1,[28],28
10358_svg,162,14,"[13, 13, 14, 10, 10, 10, 10, 8, 8, 7, 7, 36, 8, 8]",36
10418_svg,64,6,"[27, 8, 11, 10, 4, 4]",27
10458_svg,62,8,"[7, 11, 6, 7, 7, 6, 11, 7]",11
10424_svg,216,15,"[7, 11, 43, 38, 11, 3, 10, 7, 10, 10, 12, 28, 10, 10, 6]",43
10471_svg,34,5,"[5, 8, 7, 9, 5]",9
10470_svg,242,46,"[7, 7, 7, 7, 5, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",7
10472_svg,32,2,"[27, 5]",27
10469_svg,37,3,"[13, 13, 11]",13
10473_svg,141,14,"[20, 36, 5, 14, 14, 4, 4, 4, 6, 6, 4, 4, 10, 10]",36
10474_svg,238,24,"[6, 10, 7, 20, 4, 19, 4, 15, 8, 11, 11, 15, 4, 12, 10, 10, 10, 8, 8, 10, 8, 8, 10, 10]",20
104_svg,31,3,"[7, 10, 14]",14
1044_svg,590,82,"[13, 5, 18, 17, 17, 25, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 6, 8, 29, 6, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 8, 12]",29
1050_svg,236,25,"[24, 34, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 17, 8, 6, 49, 8]",49
10510_svg,183,19,"[20, 21, 6, 26, 4, 26, 10, 10, 7, 6, 5, 5, 5, 6, 5, 4, 5, 6, 6]",26
1051_svg,29,3,"[6, 7, 16]",16
10511_svg,78,3,"[44, 26, 8]",44
10475_svg,957,118,"[3, 9, 5, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 7, 3, 3, 3, 12, 26, 26, 34, 34, 5, 5, 5, 5, 6, 5, 5, 5, 5, 4, 6, 6, 4, 4, 3, 12, 12, 4, 3, 4, 7, 3, 3, 3, 3, 3, 5, 7, 5, 7, 3, 3, 9, 3, 3, 26, 26, 26, 26, 18, 24, 24, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 30, 30, 30, 30, 28, 30, 30, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 11, 8, 3, 3, 3]",34
1063_svg,199,8,"[80, 7, 7, 5, 78, 6, 9, 7]",80
1065_svg,74,9,"[4, 19, 4, 4, 7, 10, 8, 9, 9]",19
10669_svg,34,2,"[26, 8]",26
10668_svg,53,1,[53],53
1064_svg,104,4,"[80, 9, 7, 8]",80
10671_svg,19,2,"[6, 13]",13
10673_svg,16,1,[16],16
10672_svg,16,1,[16],16
10674_svg,167,15,"[16, 16, 16, 16, 16, 16, 8, 5, 12, 5, 4, 8, 5, 12, 12]",16
10476_svg,796,105,"[3, 9, 3, 5, 4, 5, 5, 4, 9, 3, 5, 5, 4, 5, 4, 9, 9, 9, 9, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 5, 5, 9, 9, 9, 9, 9, 4, 4, 5, 4, 4, 6, 6, 6, 6, 6, 6, 5, 5, 4, 4, 4, 4, 4, 4, 5, 4, 5, 33, 6, 4, 7, 5, 4, 14, 3, 5, 4, 5, 6, 4, 6, 5, 25, 5, 6, 4, 5, 28, 12, 14, 16, 14, 14, 10, 25, 10, 12, 15, 14, 14, 10, 7, 8, 6, 7, 9, 8, 8, 6, 35, 7, 6, 8, 6]",35
10670_svg,52,3,"[18, 21, 13]",21
10677_svg,56,5,"[12, 9, 8, 11, 16]",16
10682_svg,47,3,"[21, 13, 13]",21
10680_svg,71,6,"[29, 20, 4, 4, 7, 7]",29
10683_svg,41,2,"[19, 22]",22
10692_svg,29,2,"[5, 24]",24
10703_svg,125,13,"[18, 9, 10, 10, 10, 8, 10, 6, 8, 9, 7, 10, 10]",18
106_svg,71,8,"[18, 6, 7, 12, 7, 7, 7, 7]",18
10711_svg,67,8,"[18, 5, 5, 5, 5, 5, 5, 19]",19
10702_svg,323,15,"[13, 56, 50, 56, 57, 12, 13, 12, 11, 6, 6, 6, 11, 8, 6]",57
10717_svg,15,1,[15],15
10727_svg,58,1,[58],58
10759_svg,31,2,"[9, 22]",22
10760_svg,37,1,[37],37
10766_svg,49,3,"[33, 8, 8]",33
107_svg,58,7,"[5, 5, 5, 5, 15, 16, 7]",16
10827_svg,53,5,"[9, 7, 11, 11, 15]",15
10833_svg,398,64,"[5, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 4, 6, 6, 6, 6, 6, 6, 7, 7, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 7, 7, 6, 6, 6, 6, 7, 7, 7, 7, 7, 5, 6, 6, 6, 6, 6, 6, 6, 11, 5, 4, 4, 7, 4, 4]",11
10704_svg,1134,171,"[12, 20, 12, 20, 13, 10, 8, 13, 31, 4, 14, 7, 4, 7, 4, 14, 12, 12, 7, 7, 7, 7, 5, 5, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 7, 6, 5, 6, 5, 5, 6, 7, 6, 5, 7, 4, 6, 6, 6, 6, 6, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 17, 5, 6, 4, 6, 5, 6, 6, 6, 6, 8, 6, 6, 6, 6, 8, 6, 6, 6, 6, 6, 6, 6, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 6, 6, 8, 6, 6, 6, 8, 6, 6, 6, 6, 6, 5, 5, 5, 8, 5, 5, 4]",31
10836_svg,141,15,"[7, 10, 5, 5, 5, 5, 11, 5, 8, 41, 5, 4, 11, 9, 10]",41
10837_svg,128,13,"[7, 42, 7, 5, 5, 13, 5, 7, 8, 10, 9, 6, 4]",42
10705_svg,875,49,"[56, 8, 9, 10, 8, 8, 12, 8, 4, 6, 16, 27, 4, 12, 8, 8, 47, 8, 8, 13, 84, 220, 15, 8, 4, 8, 4, 7, 14, 6, 6, 8, 8, 10, 4, 19, 10, 8, 34, 10, 10, 8, 10, 39, 11, 6, 6, 8, 10]",220
10838_svg,61,3,"[38, 13, 10]",38
10839_svg,82,9,"[7, 5, 29, 6, 5, 6, 6, 8, 10]",29
10841_svg,116,11,"[7, 10, 8, 41, 5, 9, 4, 9, 4, 9, 10]",41
10840_svg,101,10,"[5, 2, 44, 5, 9, 4, 8, 4, 10, 10]",44
10843_svg,139,15,"[9, 5, 11, 4, 5, 8, 20, 5, 11, 5, 4, 4, 12, 31, 5]",31
10842_svg,135,12,"[7, 6, 21, 10, 11, 8, 33, 5, 4, 11, 9, 10]",33
10844_svg,76,5,"[17, 20, 17, 14, 8]",20
10845_svg,90,8,"[5, 18, 13, 12, 11, 10, 11, 10]",18
10847_svg,124,7,"[11, 39, 45, 5, 4, 9, 11]",45
10846_svg,87,9,"[5, 35, 10, 5, 4, 5, 10, 8, 5]",35
10850_svg,130,13,"[8, 8, 16, 28, 5, 9, 5, 9, 4, 13, 9, 7, 9]",28
10848_svg,88,7,"[7, 6, 34, 9, 7, 13, 12]",34
10851_svg,97,10,"[5, 9, 28, 5, 4, 7, 9, 9, 10, 11]",28
10852_svg,104,10,"[10, 4, 18, 12, 10, 11, 10, 9, 10, 10]",18
10849_svg,144,13,"[11, 16, 13, 5, 6, 6, 35, 5, 5, 11, 8, 13, 10]",35
10854_svg,100,9,"[5, 10, 18, 13, 12, 11, 10, 11, 10]",18
10853_svg,97,11,"[10, 4, 9, 7, 8, 6, 4, 5, 8, 26, 10]",26
10856_svg,174,19,"[6, 4, 5, 27, 9, 6, 6, 4, 4, 7, 7, 8, 8, 5, 5, 26, 21, 8, 8]",27
10857_svg,111,7,"[8, 4, 8, 13, 54, 14, 10]",54
10855_svg,105,13,"[4, 4, 35, 4, 6, 5, 10, 5, 4, 5, 10, 8, 5]",35
10859_svg,116,13,"[5, 9, 7, 28, 4, 5, 9, 9, 8, 6, 9, 11, 6]",28
10858_svg,151,16,"[4, 10, 27, 6, 8, 7, 10, 6, 6, 6, 4, 23, 12, 4, 9, 9]",27
10861_svg,105,7,"[11, 9, 45, 14, 11, 8, 7]",45
10862_svg,194,24,"[4, 10, 4, 8, 10, 6, 28, 4, 5, 10, 9, 9, 7, 8, 7, 8, 4, 3, 5, 3, 3, 5, 26, 8]",28
10860_svg,188,18,"[11, 7, 12, 15, 9, 4, 4, 11, 7, 34, 27, 6, 4, 4, 7, 8, 8, 10]",34
10863_svg,98,10,"[4, 28, 7, 5, 4, 6, 8, 9, 9, 18]",28
10864_svg,97,10,"[5, 9, 7, 4, 10, 5, 28, 9, 9, 11]",28
10871_svg,34,3,"[16, 9, 9]",16
1088_svg,58,5,"[26, 8, 7, 6, 11]",26
10865_svg,91,8,"[5, 5, 32, 11, 4, 8, 16, 10]",32
1089_svg,95,8,"[15, 11, 19, 4, 19, 4, 19, 4]",19
108_svg,30,2,"[17, 13]",17
1087_svg,77,8,"[7, 7, 7, 7, 28, 7, 7, 7]",28
1090_svg,91,13,"[13, 12, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",13
1091_svg,32,2,"[16, 16]",16
10921_svg,404,63,"[18, 7, 7, 7, 7, 7, 7, 11, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",18
10923_svg,68,3,"[51, 7, 10]",51
10922_svg,480,6,"[4, 23, 10, 10, 17, 416]",416
10920_svg,562,77,"[18, 7, 7, 7, 7, 7, 7, 11, 6, 26, 10, 22, 4, 6, 22, 10, 10, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 19, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 9, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",26
10925_svg,260,24,"[7, 30, 16, 16, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 7, 7, 28, 5, 5, 6, 6, 6, 6, 5]",30
1092_svg,30,3,"[10, 10, 10]",10
1093_svg,19,3,"[5, 6, 8]",8
10989_svg,31,3,"[13, 13, 5]",13
10926_svg,98,3,"[22, 37, 39]",39
10983_svg,64,5,"[24, 10, 10, 10, 10]",24
10714_svg,3634,610,"[9, 7, 4, 4, 5, 6, 10, 4, 9, 4, 4, 4, 4, 4, 4, 6, 6, 10, 6, 12, 7, 3, 3, 4, 6, 6, 6, 10, 15, 6, 4, 6, 6, 6, 6, 4, 4, 4, 4, 4, 6, 6, 4, 4, 8, 8, 12, 8, 6, 6, 4, 4, 10, 4, 4, 4, 4, 4, 4, 6, 6, 4, 4, 8, 6, 4, 4, 6, 6, 3, 3, 7, 2, 19, 6, 9, 4, 4, 15, 10, 9, 4, 4, 4, 6, 6, 6, 3, 2, 48, 5, 5, 5, 5, 5, 3, 10, 4, 4, 6, 4, 4, 4, 5, 3, 3, 3, 5, 5, 6, 4, 8, 7, 5, 5, 5, 3, 5, 7, 7, 7, 7, 7, 47, 4, 6, 6, 8, 8, 8, 6, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 6, 6, 6, 4, 8, 10, 10, 6, 6, 6, 6, 6, 10, 6, 3, 6, 6, 3, 3, 6, 6, 6, 6, 6, 3, 7, 4, 4, 3, 6, 6, 6, 6, 6, 6, 6, 10, 10, 14, 10, 6, 6, 6, 8, 8, 8, 8, 12, 8, 8, 8, 12, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 4, 8, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 10, 4, 6, 6, 3, 3, 6, 3, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 4, 6, 3, 12, 8, 8, 8, 8, 8, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 6, 10, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 4, 4, 4, 4, 8, 8, 8, 8, 8, 4, 4, 6, 10, 10, 10, 4, 4, 6, 6, 6, 6, 4, 4, 10, 4, 4, 4, 4, 6, 6, 6, 3, 4, 4, 10, 10, 6, 6, 6, 6, 3, 4, 4, 4, 4, 6, 6, 6, 14, 10, 8, 12, 12, 8, 6, 14, 4, 4, 4, 5, 4, 4, 6, 6, 4, 8, 6, 6, 10, 3, 3, 3, 3, 6, 3, 3, 3, 6, 4, 6, 10, 8, 12, 8, 6, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 6, 6, 8, 8, 10, 10, 6, 6, 6, 6, 6, 6, 3, 6, 6, 8, 8, 8, 8, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 6, 6, 6, 6, 6, 8, 6, 6, 6, 6, 3, 6, 6, 6, 6, 3, 9, 4, 6, 6, 8, 8, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 4, 4, 4, 6, 6, 10, 10, 10, 6, 6, 6, 6, 10, 10, 3, 4, 8, 12, 6, 8, 6, 6, 4, 4, 6, 6, 4, 4, 4, 4, 6, 8, 6, 4, 4, 6, 6, 6, 6, 8, 6, 6, 10, 4, 12, 12, 8, 8, 8, 6, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 4, 4, 10, 6, 6, 6, 4, 6, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 4, 10, 10, 10, 6, 6, 6, 10, 6, 6, 3, 6]",48
11034_svg,84,11,"[8, 13, 7, 6, 7, 8, 8, 8, 5, 5, 9]",13
10_svg,72,6,"[7, 7, 5, 20, 9, 24]",24
11037_svg,50,3,"[18, 18, 14]",18
11051_svg,25,5,"[2, 2, 2, 2, 17]",17
11031_svg,80,9,"[10, 6, 26, 10, 8, 9, 3, 3, 5]",26
11062_svg,26,3,"[13, 6, 7]",13
11067_svg,38,3,"[12, 8, 18]",18
11063_svg,105,2,"[97, 8]",97
11069_svg,46,4,"[14, 9, 9, 14]",14
11070_svg,44,3,"[14, 14, 16]",16
11071_svg,47,3,"[19, 14, 14]",19
11072_svg,44,3,"[14, 16, 14]",16
11073_svg,46,3,"[14, 18, 14]",18
11074_svg,46,4,"[14, 9, 9, 14]",14
11045_svg,40,1,[40],40
11075_svg,45,3,"[14, 17, 14]",17
11076_svg,70,5,"[14, 13, 14, 14, 15]",15
11079_svg,112,12,"[6, 8, 6, 10, 8, 6, 10, 8, 10, 23, 6, 11]",23
11068_svg,482,34,"[14, 14, 14, 9, 9, 19, 19, 19, 14, 14, 14, 14, 14, 16, 14, 14, 14, 14, 14, 14, 14, 17, 9, 18, 9, 13, 14, 16, 14, 14, 14, 14, 14, 15]",19
11088_svg,112,16,"[10, 10, 4, 7, 4, 4, 5, 4, 8, 4, 6, 10, 10, 10, 11, 5]",11
11089_svg,87,8,"[16, 16, 12, 8, 10, 8, 7, 10]",16
11091_svg,78,6,"[15, 7, 12, 16, 13, 15]",16
11090_svg,138,16,"[9, 9, 9, 9, 10, 12, 8, 8, 7, 7, 10, 6, 7, 7, 10, 10]",12
110_svg,30,3,"[14, 7, 9]",14
11180_svg,34,4,"[12, 7, 9, 6]",12
11101_svg,82,7,"[20, 22, 6, 6, 9, 10, 9]",22
11182_svg,386,44,"[5, 9, 10, 10, 8, 8, 8, 8, 8, 10, 10, 10, 10, 7, 5, 6, 17, 10, 5, 8, 8, 10, 8, 8, 8, 8, 7, 7, 10, 10, 10, 10, 9, 5, 10, 10, 10, 10, 14, 14, 4, 4, 10, 10]",17
11183_svg,248,38,"[8, 10, 4, 4, 3, 3, 3, 3, 6, 3, 4, 3, 3, 4, 3, 4, 3, 3, 8, 8, 4, 10, 8, 4, 4, 10, 10, 10, 4, 4, 35, 3, 8, 7, 11, 9, 11, 6]",35
11185_svg,58,7,"[10, 10, 10, 5, 11, 8, 4]",11
11181_svg,500,73,"[14, 5, 5, 5, 5, 10, 16, 25, 25, 5, 76, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",76
11184_svg,174,21,"[14, 10, 6, 36, 12, 13, 5, 5, 5, 5, 5, 15, 5, 5, 5, 5, 5, 5, 3, 5, 5]",36
11234_svg,66,7,"[9, 11, 11, 9, 5, 10, 11]",11
1119_svg,47,4,"[29, 6, 6, 6]",29
1120_svg,33,4,"[7, 8, 5, 13]",13
11237_svg,55,5,"[15, 7, 8, 9, 16]",16
1125_svg,64,4,"[19, 22, 16, 7]",22
1126_svg,95,8,"[8, 8, 7, 8, 8, 16, 8, 32]",32
11238_svg,70,6,"[26, 9, 9, 9, 9, 8]",26
11286_svg,20,1,[20],20
11287_svg,26,2,"[19, 7]",19
1128_svg,22,2,"[6, 16]",16
1127_svg,58,5,"[16, 7, 7, 7, 21]",21
1129_svg,42,3,"[13, 11, 18]",18
112_svg,47,5,"[5, 5, 7, 15, 15]",15
11305_svg,51,6,"[9, 7, 9, 7, 8, 11]",11
11301_svg,38,3,"[10, 14, 14]",14
11288_svg,65,4,"[18, 18, 23, 6]",23
11313_svg,38,3,"[14, 14, 10]",14
1130_svg,74,4,"[7, 16, 12, 39]",39
11317_svg,74,8,"[7, 31, 5, 4, 4, 7, 5, 11]",31
11320_svg,55,5,"[27, 4, 4, 13, 7]",27
1131_svg,82,9,"[8, 8, 7, 12, 9, 8, 10, 10, 10]",12
11321_svg,55,5,"[13, 27, 4, 4, 7]",27
11319_svg,254,48,"[7, 11, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 9, 4, 4, 5, 5, 5, 5, 10, 7, 4, 4, 8, 8, 8, 8, 8, 8, 14]",14
11322_svg,166,17,"[14, 14, 16, 9, 9, 11, 20, 9, 4, 4, 4, 4, 4, 4, 4, 4, 32]",32
11323_svg,189,18,"[19, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 70, 6, 6, 6, 6, 6, 8]",70
11325_svg,170,8,"[9, 21, 53, 53, 10, 5, 9, 10]",53
11324_svg,173,9,"[16, 53, 53, 7, 10, 8, 10, 8, 8]",53
11326_svg,142,11,"[53, 6, 10, 10, 10, 10, 8, 12, 6, 7, 10]",53
11329_svg,49,4,"[13, 9, 7, 20]",20
11327_svg,248,25,"[18, 7, 4, 12, 10, 10, 10, 10, 10, 5, 12, 12, 55, 7, 14, 5, 5, 8, 5, 5, 6, 4, 4, 4, 6]",55
1133_svg,32,1,[32],32
11344_svg,95,15,"[8, 14, 4, 3, 9, 9, 5, 5, 5, 5, 5, 5, 5, 9, 4]",14
11328_svg,362,34,"[207, 5, 8, 5, 10, 11, 4, 6, 3, 5, 8, 3, 3, 8, 3, 3, 3, 3, 6, 3, 3, 6, 6, 3, 3, 6, 4, 3, 3, 6, 3, 3, 3, 3]",207
1132_svg,51,4,"[12, 16, 12, 11]",16
1135_svg,132,14,"[25, 10, 10, 10, 10, 10, 10, 10, 6, 6, 6, 5, 7, 7]",25
1134_svg,102,12,"[6, 6, 8, 8, 30, 8, 6, 6, 6, 6, 6, 6]",30
11369_svg,95,11,"[7, 10, 8, 10, 10, 8, 8, 9, 10, 10, 5]",10
1136_svg,17,1,[17],17
11368_svg,179,26,"[39, 14, 8, 6, 5, 5, 4, 5, 8, 8, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3]",39
11370_svg,91,10,"[11, 5, 5, 5, 5, 5, 9, 6, 6, 34]",34
1137_svg,16,1,[16],16
11389_svg,78,5,"[12, 49, 8, 5, 4]",49
11390_svg,105,3,"[11, 65, 29]",65
11367_svg,250,18,"[16, 18, 7, 30, 30, 23, 11, 10, 8, 10, 15, 16, 12, 10, 10, 8, 9, 7]",30
11399_svg,89,8,"[14, 16, 7, 10, 10, 22, 4, 6]",22
11388_svg,582,118,"[4, 2, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 16, 16, 4, 4, 5, 4, 4, 4, 4, 6, 5, 5, 4, 4, 6, 3, 16, 16, 6, 6, 4, 3, 3, 9, 3, 3, 4, 3, 10, 3, 3, 6, 4, 4, 3, 3, 8, 8, 3, 3, 3, 19, 19, 4, 4, 4, 4, 3, 9, 4, 4, 5, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 9, 9, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6]",19
